MES;CLIENTE;LINEA_RENOVADO;PLAZO_RENOVADO;FLAG_VENTA;USO_LINEA_TOTAL_TC_T2;USO_TRIM_LINEA_BBVA;NR_ENTIDADES_TOTAL_T2;DIFF_NRO_ENTIDA_TOTALES_T2_T12;SDO_CONSUMO_T2;RESENCIA_OFERTA_PLD_RENOVADO;Ahorro_Sldo_Bco_T1;PConsumo_Sldo_Bco_T1;SDO_BCO_tot_sm_pasivo_Bco_6M;EDAD;SEXO;EST_CIVIL;ANTIGUEDAD_MES;REGION;FLAG_LIMA_PROVINCIA;SUELDO_ESTIMADO;CUBRIR_DEUDA_CONSUMO_SF_RENOVA_PLD
201505;45;7800;36;0;0.661652;0.907884;4;-2;13139.73;11;4828;8112;45551;34;F;S;131;LIMA MODERNA;1;7831;1.68458
201505;46;17108;24;0;0.01042;0;2;-1;8320.86;11;2210;16866;6666.666666;43;M;C;179;LIMA CENTRO;1;3016;0.486372
201505;47;13000;36;0;0;0;1;0;5713.15;21;38;11762;38;34;F;S;86;NORTE;0;2185.22;0.439473
201506;48;6500;36;0;;;4;-3;7487.35;6;1025;3957;7676;25;F;S;62;LIMA ESTE;1;3277;1.1519
201505;49;34970;36;0;0;0;1;2;17116.68;21;39270;35272;60555.5;34;F;S;119;CENTRO;0;3496;0.489467
201505;50;10000;24;0;0.095855;0.248111;3;0;8521.21;;6710;9140;3219.833333;33;M;S;78;LIMA MODERNA;1;10250;0.852121
201505;51;5720;36;0;0.473245;0.512333;2;0;24704.37;11;6626;6680;3054.166666;34;M;S;57;SUR;0;6311;4.31895
201505;52;26000;48;0;0;0;1;1;12429.38;21;4130;24966;40367.33333;34;M;S;107;LIMA NORTE;1;5100;0.478053
201505;53;19500;18;0;0.030853;0.032398;1;-1;12191.36;;7506;25408;19446.83333;34;F;S;169;OESTE;0;6603;0.625197
201505;54;5200;36;0;0;0;1;0;1419.99;21;808;3096;16793;33;F;C;67;LIMA NORTE;1;2364;0.273075
201505;55;26000;18;0;0.128017;0;2;-1;17414.19;6;326;31692;4866.833333;35;F;C;145;NORTE;0;2594.68;0.669776
201505;56;3250;12;0;;;1;-1;1445.01;11;546;2964;404.666666;35;M;S;29;LIMA NORTE;1;2539;0.444618
201505;57;2600;12;0;;;1;-1;1062.14;;202;2136;753.666666;33;M;S;105;CENTRO;0;3001;0.408515
201505;58;13130;18;0;;;1;-1;4484;21;536;9126;12774;33;M;S;58;LIMA ESTE;1;3502;0.341507
201505;59;5050;24;0;0.451284;0.664948;2;-1;8035.61;;0;7964;0;33;M;S;164;LIMA ESTE;1;1525;1.59121
201505;60;19500;36;0;0.445;0.39535;2;-2;16980.68;;1992;23742;2587.333333;34;M;S;37;LIMA NORTE;1;6773;0.870804
201505;61;19500;6;0;0.046882;0.053133;1;-1;3374.14;11;9962;10086;10131.66667;33;F;C;62;LIMA MODERNA;1;16343;0.173032
201505;62;19500;12;0;0.088648;0.626022;1;0;15767.94;;3802;23648;5786.166666;34;F;S;119;LIMA MODERNA;1;3094.23;0.808612
201505;63;12090;36;0;0;0;1;0;6709.24;9;8232;13418;132318.6667;33;F;S;151;LIMA MODERNA;1;2406.69;0.554941
201505;64;10400;24;0;0.135522;0;2;0;1324.96;1;1842;862;21716.16667;33;M;S;118;LIMA MODERNA;1;3461;0.1274
201505;65;45500;36;0;0.6018;0.356066;1;0;3008.84;15;6738;36884;40587.16667;34;F;C;51;LIMA NORTE;1;9761;0.066128
201505;66;91000;60;0;0.22596;0.784317;3;0;54085.49;11;2;99284;782.5;33;M;S;77;CENTRO;0;750;0.594346
201505;67;21515;36;0;0;0;1;0;10050.51;20;1160;20744;16333.66667;36;M;S;52;LIMA CENTRO;1;5470;0.467139
201505;68;30550;48;0;0;0;1;0;12416.58;21;78478;25354;79429.16667;33;M;S;66;LIMA MODERNA;1;7651;0.406434
201505;69;13000;36;0;0.558409;0.687642;1;-1;10309.81;;1230;16208;4660.666666;33;F;D;20;LIMA MODERNA;1;5866;0.793062
201505;70;37245;36;0;0.01241;0.03311;1;0;17079.42;21;3380;33926;29599.5;34;M;S;87;SUR;0;2146;0.458569
201505;71;8645;36;0;;;1;0;3201.73;15;602;6456;17260;33;F;C;90;LIMA SUR;1;2691;0.370356
201505;72;14690;36;0;;;1;1;4975.75;21;394;10420;563.333333;35;M;S;185;SUR;0;5001;0.338716
201505;73;32500;36;0;0.042338;0.049871;2;-1;20944.5;;254;39180;632.833333;36;M;S;85;LIMA ESTE;1;2523;0.644446
201505;74;14300;36;0;0.025544;0.04436;1;1;304.07;21;650;0;1592.5;34;F;C;85;LIMA ESTE;1;2947;0.021263
201505;75;6760;36;0;0;0;1;0;3975.23;6;702;7960;14992;33;M;S;53;LIMA ESTE;1;2990;0.588051
201505;76;13000;24;0;0;0;3;-2;1857.23;17;3028;2464;15817.5;35;M;S;30;LIMA PROVINCIA;1;2575;0.142863
201505;77;6249;12;0;0;0;0;3;;15;4610;0;6008.833333;35;F;S;72;CENTRO;0;5156;0
201505;78;13000;24;0;0;0;1;-1;4936.61;21;532;10478;1278.666666;33;M;S;40;LIMA PROVINCIA;1;2066;0.379739
201505;79;16965;36;0;0.391911;0;3;0;7280.05;21;292;7470;886.166666;34;F;C;84;LIMA NORTE;1;4080;0.429121
201505;80;7800;36;0;0.362;0.273333;2;0;1495.14;21;396;2280;12670.16667;33;F;C;59;ORIENTE;0;2386;0.191684
201505;81;10666;24;0;0;0;1;2;6977.68;6;96;13982;88.666666;33;F;S;66;ORIENTE;0;1780;0.654198
201505;82;6630;36;0;;;0;0;;6;470;46088;20241;42;M;S;169;SUR;0;3394;0
201505;83;18005;36;0;0.26408;0.20008;1;0;12862.84;15;2788;19836;22931.33333;34;F;S;33;SUR;0;3693;0.714403
201505;84;26000;48;0;0.088959;0.263626;2;0;20339.08;21;8644;27352;3637.5;33;M;S;70;NORTE;0;2236;0.782272
201505;85;7800;36;0;0.0044;0.0044;1;0;7642.89;14;372;15624;6962.333333;34;M;S;35;LIMA SUR;1;3180;0.979857
201505;86;9100;15;0;0.027482;0.114848;4;0;4719.06;21;4742;4578;80337.5;34;M;S;58;LIMA SUR;1;8821;0.518578
201505;87;7800;36;0;0.2478;0.465116;3;-1;9698.18;21;34804;5122;29702.5;33;F;S;60;ORIENTE;0;2510.17;1.24336
201505;88;26954;36;0;0.700763;0.846813;3;-1;41098.56;;1012;37824;18540.83333;42;F;C;227;LIMA ESTE;1;6101;1.52477
201505;89;11834;18;0;0;0;1;0;4709.5;11;2498;10508;1289.666666;34;M;S;148;LIMA ESTE;1;92;0.397963
201505;90;1950;12;0;;;1;0;1042.54;6;224;2224;11182.5;35;M;S;154;LIMA NORTE;1;419;0.534635
201505;91;13000;36;0;;;1;1;19910.35;18;21104;39840;25995.16667;36;M;S;115;LIMA NORTE;1;3247;1.53157
